id,grp,cycle_time_days,created_date
6348,0,1,2015-07-14
6349,0,6,2015-06-29
6345,0,4,2015-06-30
6346,0,-1,2015-10-04
6347,0,7,2015-07-10
7642,0,4,2016-04-20
7660,0,9,2016-03-21
7661,0,28,2016-03-27
7662,0,28,2016-04-02
7663,0,11,2016-04-21
7657,0,-1,2016-04-14
7658,0,11,2016-03-27
6327,0,6,2015-06-22
7659,0,16,2016-04-02
5297,0,4,2015-02-28
5273,0,7,2015-02-27
5269,0,22,2015-02-24
5283,0,6,2015-02-28
117,0,73,2013-08-26
115,0,-1,2013-05-14
113,0,39,2013-08-14
114,0,13,2013-05-31
109,0,-1,2013-06-24
107,0,38,2013-05-18
100,0,-1,2013-07-11
101,0,-1,2013-11-06
7990,0,4,2016-09-24
7991,0,6,2016-09-22
7992,0,3,2016-09-28
6661,0,8,2015-08-30
5331,0,4,2015-03-25
5330,0,-1,2015-05-24
7987,0,1,2016-09-24
6656,0,1,2015-08-24
7988,0,10,2016-09-10
6657,0,3,2015-09-15
7989,0,7,2016-09-14
5322,0,-1,2015-03-13
5321,0,1,2015-03-25
5328,0,1,2015-03-19
5327,0,5,2015-03-17
5326,0,3,2015-03-14
7986,0,1,2016-09-22
6655,0,1,2015-08-24
5325,0,11,2015-03-25
5329,0,-1,2015-03-23
6670,0,74,2015-08-24
5342,0,9,2015-03-14
5341,0,9,2015-03-10
5333,0,1,2015-03-23
5332,0,7,2015-03-25
7995,0,1,2016-09-19
7996,0,15,2016-10-15
5301,0,10,2015-02-28
7967,0,16,2016-09-22
6637,0,-1,2015-08-19
5306,0,8,2015-03-02
5307,0,3,2015-03-09
6650,0,1,2015-08-23
5320,0,-1,2015-03-10
6645,0,1,2015-08-22
6646,0,7,2015-09-20
6647,0,15,2015-08-23
6643,0,1,2015-08-22
6644,0,1,2015-08-20
6649,0,1,2015-10-08
5375,0,2,2015-03-20
4037,0,-1,2015-01-24
4036,0,3,2014-10-18
4035,0,-1,2015-01-13
5365,0,-1,2015-03-21
6697,0,-1,2015-08-26
4039,0,7,2014-10-18
4038,0,-1,2015-01-13
5380,0,-1,2015-05-25
5385,0,-1,2015-05-31
4053,0,1,2014-10-15
5379,0,-1,2015-03-19
5377,0,9,2015-03-16
6680,0,1,2015-08-25
6678,0,10,2015-08-27
6679,0,-1,2015-08-27
5345,0,17,2015-03-26
5344,0,10,2015-03-22
5343,0,9,2015-03-18
6677,0,3,2015-08-29
4016,0,4,2014-11-10
5357,0,-1,2015-03-17
5356,0,-1,2015-03-11
5359,0,1,2015-03-16
5358,0,21,2015-03-25
7902,0,6,2016-09-02
7907,0,2,2016-08-28
7908,0,6,2016-08-26
7909,0,-1,2016-10-26
7905,0,-1,2016-11-14
7906,0,-1,2016-08-26
7910,0,6,2016-09-10
6613,0,-1,2015-08-14
6611,0,1,2015-09-07
7948,0,-1,2016-09-20
7929,0,2,2016-09-14
6604,0,9,2015-08-21
207,0,-1,2013-01-31
208,0,-1,2013-03-13
205,0,-1,2013-09-13
206,0,8,2013-08-03
203,0,-1,2012-12-26
204,0,-1,2013-03-28
201,0,-1,2013-06-13
202,0,-1,2012-12-20
200,0,-1,2013-06-17
6499,0,1,2015-08-01
6485,0,1,2015-08-02
5158,0,5,2015-02-16
5156,0,6,2015-02-16
6488,0,2,2015-08-06
247,0,-1,2013-06-17
248,0,-1,2013-09-24
245,0,2,2013-10-23
246,0,-1,2014-02-26
243,0,145,2014-05-27
244,0,393,2015-01-30
240,0,80,2013-06-24
238,0,-1,2013-06-17
239,0,13,2013-06-19
232,0,39,2013-12-27
231,0,45,2014-01-03
220,0,-1,2013-11-19
219,0,-1,2015-08-31
215,0,-1,2013-06-03
167,0,62,2013-06-28
162,0,31,2013-05-29
163,0,-1,2013-05-19
160,0,-1,2013-05-19
161,0,-1,2013-05-25
7880,0,6,2016-08-06
159,0,-1,2013-05-17
157,0,-1,2013-06-20
158,0,52,2013-06-12
7877,0,-1,2016-08-04
155,0,-1,2013-05-12
7878,0,1,2016-08-24
156,0,-1,2013-05-16
7879,0,1,2016-08-25
153,0,7,2013-06-08
151,0,7,2013-06-06
152,0,8,2013-06-12
7876,0,3,2016-08-02
150,0,37,2013-06-04
149,0,1,2013-06-08
7844,0,-1,2016-10-13
6516,0,4,2016-12-25
5250,0,4,2015-04-09
5252,0,6,2015-02-24
5251,0,-1,2015-02-19
5248,0,1,2015-03-03
6593,0,4,2015-08-16
5261,0,-1,2015-04-14
6594,0,-1,2015-08-24
5260,0,-1,2015-05-14
6595,0,3,2015-09-01
6596,0,-1,2015-09-09
199,0,-1,2013-08-20
197,0,-1,2013-02-21
198,0,-1,2013-03-13
195,0,1,2013-09-01
6587,0,1,2015-08-15
196,0,-1,2013-01-01
6588,0,9,2015-08-13
193,0,-1,2013-08-23
194,0,-1,2013-08-23
191,0,-1,2013-04-07
192,0,14,2013-07-04
190,0,-1,2012-12-26
7890,0,2,2016-11-09
188,0,-1,2013-12-27
189,0,-1,2012-11-03
186,0,-1,2013-01-22
187,0,-1,2013-08-20
184,0,-1,2013-08-20
185,0,-1,2013-01-01
182,0,-1,2013-02-16
183,0,-1,2013-06-21
180,0,22,2013-06-17
181,0,15,2013-06-17
6573,0,9,2015-08-12
5243,0,8,2015-03-01
179,0,-1,2013-04-10
5240,0,195,2015-02-17
177,0,-1,2013-01-24
178,0,55,2013-06-17
175,0,41,2013-06-17
176,0,-1,2013-01-22
7895,0,2,2016-08-30
173,0,-1,2013-04-10
7896,0,4,2016-08-27
174,0,-1,2013-04-14
7897,0,3,2016-08-31
171,0,43,2013-06-15
7898,0,10,2016-08-16
172,0,23,2013-06-17
170,0,44,2013-06-15
6502,0,7,2015-08-01
6504,0,10,2015-08-03
6505,0,7,2015-08-07
7800,0,7,2016-06-30
7803,0,3,2016-08-03
7804,0,-1,2016-07-17
723,0,-1,2013-11-02
719,0,-1,2013-10-27
768,0,-1,2013-11-04
769,0,27,2013-11-02
766,0,56,2013-11-08
8,0,-1,2013-06-09
762,0,8,2013-11-05
763,0,-1,2014-01-01
1,0,-1,2013-10-17
761,0,4,2013-11-19
756,0,-1,2014-03-08
753,0,-1,2014-04-13
752,0,-1,2014-04-13
745,0,8,2013-10-29
742,0,3,2013-11-04
734,0,1,2013-11-06
732,0,-1,2013-11-02
797,0,-1,2013-11-19
793,0,-1,2013-11-24
794,0,-1,2013-11-14
791,0,4,2013-11-08
792,0,1,2013-11-24
788,0,12,2013-11-05
789,0,-1,2013-11-11
786,0,14,2013-11-04
783,0,326,2013-12-08
773,0,6,2013-11-07
774,0,2,2013-11-07
771,0,2,2013-11-01
772,0,2,2013-11-07
770,0,26,2013-11-15
4242,0,5,2014-11-04
4241,0,1,2014-11-01
4235,0,-1,2014-10-30
4234,0,2,2014-11-01
4233,0,-1,2014-10-30
4245,0,1,2014-11-21
4244,0,2,2014-11-27
4243,0,2,2014-11-25
4220,0,1,2014-11-01
6876,0,16,2015-10-16
5544,0,3,2015-04-05
6873,0,9,2015-10-12
4216,0,-1,2015-02-15
6874,0,11,2015-10-12
6875,0,10,2015-10-16
4219,0,1,2014-11-01
4218,0,6,2014-11-26
4223,0,1,2014-12-18
4228,0,1,2014-10-31
4227,0,1,2014-10-31
4279,0,-1,2014-11-04
4278,0,-1,2014-11-04
4277,0,-1,2014-11-04
4261,0,33,2014-11-07
4275,0,-1,2014-12-03
4274,0,-1,2014-11-03
5599,0,-1,2015-04-05
4268,0,-1,2014-11-11
5598,0,1,2015-03-30
4267,0,-1,2015-02-19
6810,0,8,2015-09-26
6812,0,2,2015-09-23
6813,0,1,2015-10-02
6814,0,4,2015-09-28
6827,0,2,2015-09-27
6809,0,1,2015-10-04
6804,0,1,2015-09-18
6805,0,1,2015-09-18
6806,0,-1,2015-09-20
6860,0,1,2015-09-29
6870,0,2,2015-10-06
6867,0,5,2015-10-09
6861,0,3,2015-10-03
4208,0,1,2014-10-26
6834,0,14,2015-09-26
6835,0,1,2015-09-29
6836,0,3,2015-09-30
6837,0,1,2015-09-30
848,0,1,2013-11-27
832,0,-1,2013-11-17
830,0,-1,2014-03-07
820,0,-1,2013-11-19
819,0,-1,2013-11-11
889,0,23,2013-11-14
883,0,-1,2013-11-22
878,0,7,2013-11-14
877,0,2,2013-12-11
868,0,2,2013-11-22
857,0,5,2013-11-28
852,0,-1,2014-01-07
850,0,4,2013-12-07
851,0,-1,2014-01-05
4080,0,-1,2015-02-16
4087,0,10,2014-10-23
4086,0,8,2014-12-05
4078,0,4,2014-10-21
4097,0,-1,2015-02-14
4062,0,-1,2015-02-13
4061,0,-1,2014-10-16
4060,0,-1,2014-10-16
4059,0,1,2014-10-16
4058,0,-1,2014-10-16
4057,0,-1,2015-02-12
4073,0,-1,2015-01-17
4072,0,-1,2014-10-24
4071,0,-1,2015-01-17
4070,0,-1,2014-11-21
897,0,-1,2014-07-23
4075,0,-1,2015-02-15
4074,0,-1,2015-01-17
4069,0,-1,2015-01-26
891,0,-1,2013-12-09
6777,0,3,2015-09-30
5443,0,1,2015-03-21
5460,0,9,2015-03-26
5456,0,1,2015-03-24
5455,0,1,2015-03-24
5458,0,-1,2015-03-23
6760,0,-1,2016-02-06
5430,0,9,2015-04-22
6751,0,3,2015-09-03
6767,0,10,2015-09-19
5433,0,325,2015-05-29
6768,0,7,2015-09-19
6765,0,63,2015-09-08
5497,0,4,2015-04-04
5474,0,4,2015-03-26
5467,0,13,2015-03-25
5464,0,4,2015-04-05
6798,0,2,2015-09-17
5483,0,2,2015-03-26
5476,0,2,2015-05-04
5475,0,1,2015-03-30
6700,0,1,2015-08-27
6701,0,1,2015-08-27
6708,0,-1,2015-08-28
6709,0,-1,2015-08-28
6706,0,-1,2016-05-27
6707,0,1,2015-09-13
5403,0,2,2015-04-11
5402,0,6,2015-03-24
6739,0,2,2015-09-13
6750,0,1,2015-09-03
6745,0,1,2015-09-02
6740,0,5,2015-09-09
6741,0,5,2015-09-11
6743,0,383,2015-09-02
6711,0,-1,2015-09-06
6712,0,9,2015-09-04
528,0,68,2014-01-12
526,0,-1,2013-11-06
